B-V;Lum;GrpName
0.608;1.23;Pleiades
1.13;23.71;IC 348
0.541;1.79;Pleiades
0.154;22.01;Pleiades
0.437;2.77;Pleiades
0.589;1.36;Pleiades
0.463;2.84;Pleiades
-0.048;935.58;IC 348
0.55;1.61;Pleiades
0.7;0.98;Pleiades
0.329;5.71;Pleiades
0.103;76.82;IC 348
0.141;12.73;Pleiades
0.691;24.76;IC 348
0.88;8.88;IC 348
0.031;29.04;IC 348
0.394;3.94;Pleiades
-0.034;109.62;Pleiades
0.403;3.31;Pleiades
-0.105;803.19;Pleiades
0.489;1.85;Pleiades
0.823;0.35;Pleiades
-0.064;107.21;Pleiades
-0.11;473.31;Pleiades
0.128;13.45;Pleiades
-0.011;51.02;Alpha Perseus
0.179;8.82;Pleiades
0.06;24.39;Pleiades
-0.063;539.82;Pleiades
0.065;26.55;Alpha Perseus
-0.036;81.77;Pleiades
0.213;7.75;Pleiades
-0.02;41.64;Pleiades
0.843;0.41;Pleiades
-0.051;399.91;Pleiades
0.33;4.1;IC 348
0.355;5.63;Pleiades
0.6;4.95;Alpha Perseus
0.036;138.48;IC 348
0.021;27.52;Pleiades
0.03;21.6;Pleiades
0.255;6.62;Pleiades
0.184;33.14;IC 348
-0.086;1576.25;Pleiades
0.066;23.34;Pleiades
0.167;29.16;Alpha Perseus
0.262;5.47;Pleiades
0.11;9.78;IC 348
0.035;167.75;IC 348
1.34;0.11;Hyades
0.309;11.99;IC 348
-0.067;127.51;Pleiades
0.128;22.75;Pleiades
-0.038;51.78;Tucana / Horologium
0.27;3.6;IC 348
0.219;19.8;Alpha Perseus
-0.07;678.49;Pleiades
-0.082;202.42;Pleiades
-0.027;36.97;Pleiades
0.07;25.34;IC 348
0.033;21.94;Pleiades
-0.046;58.5;Pleiades
-0.006;56.55;Pleiades
0.063;30.11;Pleiades
0.435;4.15;Hyades
0.231;21.13;AB Doradus
0.782;0.32;Hyades
0.404;21.91;IC 348
-0.011;55.58;IC 348
0.078;20.2;Pleiades
1.16;0.15;Hyades
0.38;3.92;Pleiades
-0.036;403.3;IC 348
0.635;1.01;Pleiades
0.044;72.24;IC 348
0.149;10.2;IC 348
0.48;2.08;Pleiades
0.354;6.18;Hyades
