B-V;Lum;GrpName
-0.098;3410.45;Orion Molecular Cloud, ASCC 21, Collinder 70
-0.065;71.17;Orion Molecular Cloud, Collinder 70
-0.122;177.79;Orion Molecular Cloud, Collinder 70
-0.009;27.34;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
0.588;190.61;Orion Molecular Cloud, Collinder 70
-0.074;140.8;Orion Molecular Cloud, Collinder 70
0.401;5.77;Orion Molecular Cloud, Collinder 70
-0.117;280.61;Orion Molecular Cloud, Collinder 70
1.223;53.41;Orion Molecular Cloud, Collinder 70
-0.091;142.9;Orion Molecular Cloud, Collinder 70, Running Man, Orion Nebula, NGC 1980
-0.194;1589.74;Orion Molecular Cloud, Collinder 70, Sigma Orionis, Running Man
0.025;25.88;Orion Molecular Cloud, Collinder 70, Sigma Orionis
-0.199;78179.8;Orion Molecular Cloud, Collinder 70
-0.127;279.32;Orion Molecular Cloud
-0.197;4353.05;Orion Molecular Cloud, Collinder 70
-0.139;405.68;Orion Molecular Cloud, Collinder 70, Sigma Orionis
0.025;89.83;Orion Molecular Cloud, Collinder 70, Sigma Orionis
-0.105;129.72;Orion Molecular Cloud, Collinder 70
-0.111;210.19;Orion Molecular Cloud, Collinder 70, Running Man
0.077;78.94;Orion Molecular Cloud, Collinder 70
0.171;14.58;Orion Molecular Cloud, Collinder 70
-0.014;29.95;Tucana / Horologium
0.586;1.58;Tucana / Horologium
0.26;30.25;Orion Molecular Cloud, ASCC 19, Collinder 70
0.253;27.3;Orion Molecular Cloud, Collinder 70
0.055;34.94;Orion Molecular Cloud, Collinder 70
0.341;16.21;Orion Molecular Cloud, Collinder 70
-0.027;63.6;Orion Molecular Cloud, Collinder 70
0.104;15.12;Beta Pictoris
0.171;9.08;Beta Pictoris
1.453;491.69;Orion Molecular Cloud, Collinder 70
-0.195;2538.98;Orion Molecular Cloud
0.492;2.77;Tucana / Horologium
0.702;0.61;Tucana / Horologium
0.963;0.18;Beta Pictoris
0.861;0.51;Tucana / Horologium
0.614;1.26;AB Doradus
1.018;356.14;NGC 2232
-0.151;884.65;NGC 2232
-0.155;588.45;NGC 2232
-0.077;102.86;NGC 2232
-0.059;71.98;NGC 2232
-0.175;2793.85;NGC 2232
-0.137;126.78;NGC 2232
-0.079;140.26;NGC 2232
-0.009;24.92;NGC 2232
-0.139;250.76;NGC 2232
0.396;142.25;Christmas tree
0.624;1.49;AB Doradus
0.33;21.63;Christmas tree
0.095;40.3;Christmas tree
1.257;0.1;AB Doradus
-0.126;127.28;Christmas tree
-0.143;264.08;Christmas tree
-0.092;98.78;Christmas tree
-0.162;378.02;Christmas tree
-0.143;469.16;Christmas tree
-0.133;110.02;Christmas tree
0.699;0.85;Tucana / Horologium
-0.043;151.9;M 41
1.271;514.32;M 41
1.508;1261;M 41
-0.043;93.06;M 41
1.144;316.36;M 41
0.568;330.39;M 41
0.46;2.94;Tucana / Horologium
-0.065;154.21;M 41
1.151;329.17;M 41
-0.134;4498.4;ASCC 29
-0.027;166.34;ASCC 29
-0.042;254.25;ASCC 29
0.081;117.36;ASCC 29
-0.009;37.35;ASCC 29
0.52;1035.9;ASCC 29
0.033;146.25;ASCC 29
0.03;272.12;ASCC 29
1.241;696.03;ASCC 29
-0.035;326.21;ASCC 29
-0.032;353.05;ASCC 29
0.487;1866.67;ASCC 29
0.913;396.16;ASCC 29
0.038;253.58;ASCC 29
-0.012;346.38;ASCC 29
0.908;0.35;Tucana / Horologium
-0.01;35.63;Collinder 132
0.291;10.03;Collinder 135
-0.179;1880.75;Collinder 135
-0.174;981.66;Collinder 132
-0.049;44.95;Collinder 135
-0.145;611.15;Collinder 135
-0.068;59.14;Collinder 132
-0.172;1825.19;Collinder 132
-0.183;2650.86;Collinder 132
-0.063;87.04;Collinder 132
-0.149;423.76;Collinder 132
-0.005;21.42;Collinder 135
-0.085;97.92;Collinder 135
-0.183;1207.76;Collinder 132
-0.161;1459.87;Collinder 135
-0.03;46.27;Collinder 135
-0.099;1264.51;Collinder 135
-0.17;1360.48;Collinder 135
-0.026;30.35;Collinder 140
-0.085;48.63;Collinder 135
-0.05;49.55;Collinder 135
0.03;25.46;Collinder 140
-0.02;47.34;Collinder 140
-0.171;813.72;Collinder 140
-0.161;2707.86;Collinder 140
-0.092;109.89;Collinder 140
-0.169;2656.22;Collinder 140
-0.016;28.43;Collinder 140
-0.075;73.49;Collinder 140
-0.176;1261.58;Collinder 140
0;30.82;Collinder 140
1.442;0.05;AB Doradus
-0.185;2285.52;Collinder 140
-0.148;481.63;NGC 2451A
1.436;80.72;NGC 2451A
-0.119;227;Collinder 135
0.185;10.55;NGC 2451A
1.362;3526.02;NGC 2422
-0.071;173.88;NGC 2451B
-0.037;119.34;NGC 2422
-0.067;1101.59;NGC 2422
-0.06;298.12;NGC 2422
0.024;45.46;NGC 2422
-0.05;386.53;NGC 2422
-0.058;121.48;NGC 2422
-0.018;406.45;NGC 2422
-0.047;258.67;NGC 2451B
-0.148;1129.84;NGC 2451B
-0.189;1198.9;NGC 2451A
-0.125;315.89;NGC 2451A
-0.071;740.94;NGC 2451B
-0.039;90.49;NGC 2451B
-0.13;433;NGC 2451A
-0.087;116.33;NGC 2451A
-0.075;62.82;NGC 2451A
-0.107;165.33;NGC 2451B
0.155;55.81;NGC 2451B
1.026;234.09;NGC 2451B
-0.13;375.25;NGC 2451A
-0.07;52.95;NGC 2451B
-0.119;167.25;NGC 2451A
-0.01;30.12;NGC 2451B
-0.057;41.32;NGC 2451A
-0.032;60.2;NGC 2451B
-0.115;278.7;NGC 2451A
-0.099;409.63;NGC 2451B
1.504;309.42;NGC 2451B
-0.027;52.29;NGC 2451A
-0.065;74.32;NGC 2451A
-0.111;262.75;NGC 2451A
0.034;73.87;Diamond Cluster
-0.142;230.59;NGC 2451A
-0.112;1749.28;NGC 2451B
-0.151;629.18;NGC 2451B
1.239;488.06;Diamond Cluster
-0.01;39.77;NGC 2451B
-0.072;56.31;NGC 2451A
0.008;173.08;Diamond Cluster
0.078;96.26;Diamond Cluster
1.161;949.29;NGC 2451B
0.004;108.94;Diamond Cluster
0.012;36.57;NGC 2451B
0.035;76.31;Diamond Cluster
0.07;53.16;NGC 2547
0.019;41.11;Diamond Cluster
0.001;301.3;Diamond Cluster
1.554;2189.92;Diamond Cluster
-0.126;450.77;Pozzo 1
-0.009;270.65;Diamond Cluster
-0.18;7587.56;NGC 2547
0;292.7;Diamond Cluster
-0.082;1029.76;Diamond Cluster
-0.05;518.94;Diamond Cluster
-0.085;542.87;Pozzo 1
-0.113;404.46;Pozzo 1
0.49;7.43;NGC 2451A
-0.11;364.73;NGC 2547, Pozzo 1
-0.024;72.77;NGC 2547, Pozzo 1
0.014;218.19;NGC 2547
-0.061;129.08;Pozzo 1
0.257;58.83;NGC 2451A
-0.152;898.79;NGC 2547, Pozzo 1
-0.037;44.92;NGC 2547, Pozzo 1
1.01;253.98;Pozzo 1
1.213;1053.41;NGC 2547
-0.015;86.21;Pozzo 1
-0.05;67.19;Pozzo 1
-0.07;90.43;Pozzo 1
-0.138;1541.12;Pozzo 1
-0.138;593.16;Pozzo 1
-0.085;132.67;Pozzo 1
-0.063;98.41;Vel OB2, NGC 2547
1.488;4080.11;Pozzo 1
-0.172;1251.12;Vel OB2, NGC 2547, Pozzo 1
-0.02;97.23;Vel OB2, NGC 2547
-0.058;170.43;Vel OB2, NGC 2547, Pozzo 1
-0.016;134.9;Diamond Cluster
-0.083;90.82;Pozzo 1
-0.054;837.16;BH 23
-0.101;119.59;Vel OB2, NGC 2547, Pozzo 1
-0.031;196.58;Diamond Cluster
-0.013;86.43;Vel OB2
-0.101;1422.05;NGC 2547
-0.145;64399.63;Vel OB2, Pozzo 1
1.142;175.02;BH 23
-0.199;4182.83;Vel OB2, Pozzo 1
-0.002;82.77;Vel OB2, NGC 2547, NGC 2547 core
-0.133;348.97;Vel OB2, NGC 2547, NGC 2547 core
-0.14;828.86;Vel OB2, NGC 2547, NGC 2547 core
-0.085;151.71;Vel OB2, NGC 2547, NGC 2547 core
-0.085;390.28;BH 23
-0.1;160.21;Vel OB2, NGC 2547, NGC 2547 core
-0.045;770.4;BH 23
1.212;139.74;BH 23
-0.093;162.09;Pozzo 1
0.009;90.55;BH 23
0.626;929.98;Pozzo 1
0.979;71.18;NGC 2547
0.06;50.03;BH 23
0.57;63.83;vdBergh-Hagen 23, BH 23
-0.095;482.7;vdBergh-Hagen 23, BH 23
-0.113;1172.83;Pozzo 1
-0.129;207.47;vdBergh-Hagen 23, BH 23
0.04;153.58;NGC 2548
0.07;244.98;NGC 2548
-0.12;254.99;vdBergh-Hagen 23, BH 23
0.078;196.57;BH 23
-0.143;316.83;vdBergh-Hagen 23, BH 23
-0.11;2465.91;vdBergh-Hagen 23, BH 23
-0.139;3158.37;Pozzo 1
0.07;196.6;NGC 2548
-0.034;93.47;Pozzo 1
-0.184;3647.73;vdBergh-Hagen 23, BH 23
-0.185;1435.55;vdBergh-Hagen 23, BH 23
-0.104;289.2;vdBergh-Hagen 23, BH 23
-0.062;118.82;NGC 2547
1.14;637.71;NGC 2548
-0.042;60.97;NGC 2547
-0.176;2258.86;Pozzo 1
1.04;176.43;NGC 2548
0.01;47.59;NGC 2547
1.268;77.14;BH 23
-0.149;1116.01;Pozzo 1
-0.056;128.85;NGC 2547
-0.104;217.05;vdBergh-Hagen 23, BH 23
1.549;1250.99;vdBergh-Hagen 23, BH 23
-0.137;336.1;vdBergh-Hagen 23, BH 23
0.948;32.51;Praesepe
-0.116;533.11;Pozzo 1
0.023;68.49;BH 23
0.294;9.24;Praesepe
0.572;5;Praesepe
0.425;338.11;BH 23
0.978;37.33;Praesepe
-0.044;92.78;Pozzo 1
-0.187;6096.02;BH 23
0.567;3.97;Praesepe
-0.108;123.1;Omicron Velorum
0.456;3.2;Praesepe
0.421;3.03;Praesepe
0.562;1.66;Praesepe
0.687;1;Praesepe
-0.109;70.69;Omicron Velorum
0.681;77.23;Praesepe
0.155;27.6;Praesepe
0.142;27.47;Praesepe
0.04;12.01;Omicron Velorum
0.314;10.34;Praesepe
0.085;17.32;Omicron Velorum
0.237;13.87;Praesepe
0.193;58.29;Praesepe
0.076;20.23;Omicron Velorum
-0.1;108.05;Omicron Velorum
0.56;2.31;Praesepe
0.22;9.41;Omicron Velorum
-0.132;352.93;Omicron Velorum
0.248;59.31;Praesepe
0.956;98.77;Praesepe
-0.147;491.28;Omicron Velorum
0.98;110.11;Praesepe
0.395;5.15;Praesepe
0.006;73.68;Praesepe
-0.125;298.14;Omicron Velorum
-0.168;2548.84;Omicron Velorum
0.271;51.11;Praesepe
1.02;116.4;Praesepe
0.17;83.5;Praesepe
0.202;49.42;Praesepe
-0.148;2389.51;IC 2395
0.169;53.05;Praesepe
-0.186;9053.9;IC 2395
0.959;70.14;Praesepe
-0.073;445;IC 2395
0.015;29.46;Omicron Velorum
0.21;17.69;Praesepe
0.435;4.11;Omicron Velorum
-0.127;319.71;Omicron Velorum
-0.173;899.9;Omicron Velorum
-0.161;2202.63;IC 2395
0.297;7.55;Praesepe
-0.05;213.14;IC 2395
1.08;31.85;Omicron Velorum
0.097;16.56;Omicron Velorum
0.79;313.38;IC 2395
0.968;14.78;Praesepe
-0.054;59.05;Trumpler 10
0.285;11.63;Praesepe
0.551;1.54;Praesepe
0.312;10.17;Praesepe
0.351;2.94;Praesepe
0.244;16.74;Praesepe
0.054;171.65;IC 2395
0.244;13.02;Praesepe
0.265;13.24;Praesepe
-0.059;61.73;Trumpler 10
0.18;19.4;Omicron Velorum
0.23;13.24;Praesepe
0.356;5.6;Praesepe
-0.057;60.08;Trumpler 10
-0.12;605.89;Trumpler 10
-0.12;370.16;Trumpler 10
-0.097;123.1;Omicron Velorum
0.572;1.64;Praesepe
-0.178;1273.3;Trumpler 10
-0.134;363.28;Trumpler 10
0.131;14.63;Omicron Velorum
-0.15;1035.59;Trumpler 10
-0.051;152.22;Platais 9
-0.113;234.61;Platais 9
-0.137;530;Platais 9
0.068;8.58;Platais 9
0.093;18.99;Platais 9
0.042;19.26;Platais 9
-0.074;711.26;Lower Centaurus Crux
0.006;31.42;Southern Pleiades
0.007;22.52;Southern Pleiades
0.468;7824.46;Ruprecht 89
0.474;72888.61;Ruprecht 89
0.206;8.64;Southern Pleiades
-0.02;54.62;BH 99
0.317;4927.74;BH 99
0.02;30.74;BH 99
1.035;2695.67;Ruprecht 89
0.408;3.67;Southern Pleiades
1.507;0.02;AB Doradus
-0.057;101.61;BH 99
-0.089;1497.21;Southern Pleiades
-0.11;346.28;BH 99
0.29;20935.84;Ruprecht 89
0.636;3109.45;Ruprecht 89
0.325;18789.14;Ruprecht 89
-0.038;3929.45;Ruprecht 89
0.047;26.2;Southern Pleiades
0.243;8.82;Southern Pleiades
0.349;5.04;Ursa Major
0.042;11974.17;Ruprecht 89
0.009;15102.14;Ruprecht 89
-0.104;510.46;BH 99
-0.094;347.58;BH 99
0.5;34353.56;Ruprecht 89
-0.128;1546.56;BH 99
-0.075;63.52;Southern Pleiades
0.775;2581.69;Ruprecht 89
1.562;8619.49;BH 99
-0.098;763.57;BH 99
0.023;34.27;Southern Pleiades
0.045;19.11;Southern Pleiades
-0.072;86.48;Southern Pleiades
0.444;5.55;Southern Pleiades
-0.158;338.1;Southern Pleiades
-0.023;44.71;Southern Pleiades
0.947;12245.36;Ruprecht 89
-0.049;51.61;Southern Pleiades
-0.072;119.63;BH 99
0;29.76;Southern Pleiades
0.267;1258.43;Ruprecht 89
0.21;14.61;Lower Centaurus Crux, Southern Pleiades
-0.139;537.99;Southern Pleiades
-0.036;140.33;BH 99
0.213;36982.01;Ruprecht 89
0.349;1551.57;Ruprecht 89
-0.22;7499.64;Southern Pleiades
0.726;74.4;BH 99
-0.011;480.5;BH 99
-0.134;535.13;Southern Pleiades
0.027;73.27;BH 99
0.145;5959.84;Ruprecht 89
-0.059;311.04;BH 99
-0.096;243.9;Southern Pleiades
-0.077;238.02;Southern Pleiades
-0.149;539.96;Southern Pleiades
0.15;8429.91;Ruprecht 89
0.008;56.3;Southern Pleiades
0.09;81.08;BH 99
0.171;10.05;Southern Pleiades
0.08;245.56;BH 99
0.106;15.37;Southern Pleiades
-0.064;60.57;Lower Centaurus Crux
0.033;63.99;Ursa Major
0.065;19.34;Southern Pleiades
0.43;3.86;Southern Pleiades
0.313;256.73;NGC 3532
0.998;180.69;NGC 3532
0.01;28.45;Southern Pleiades
-0.03;87.44;NGC 3532
-0.012;69.54;NGC 3532
0.043;23.51;Lower Centaurus Crux
-0.001;36.84;NGC 3532
-0.137;751.55;NGC 3532
1.21;1014.51;NGC 3532
-0.026;149.8;NGC 3532
0.013;188.82;NGC 3532
0.502;3.46;Lower Centaurus Crux
0.167;9.09;Lower Centaurus Crux
-0.157;782.73;Lower Centaurus Crux
0.324;9.18;Lower Centaurus Crux
0.009;19.46;Lower Centaurus Crux
0.391;4.44;
0.157;8.25;Lower Centaurus Crux
1.02;12.32;
0.681;0.74;AB Doradus
0.19;5.83;Lower Centaurus Crux
-0.027;43.94;Lower Centaurus Crux
0.401;3.96;Lower Centaurus Crux
0.044;64.25;Ursa Major
0.391;8.21;Lower Centaurus Crux
0.404;3.39;Lower Centaurus Crux
0.443;3.45;Lower Centaurus Crux
0.214;20.95;Feigelson 1
0.226;10.49;Lower Centaurus Crux
-0.081;59.86;Lower Centaurus Crux
0.173;16.54;Lower Centaurus Crux
-0.054;166.51;Feigelson 1
1.208;0.61;Feigelson 1
0.241;24.08;Feigelson 1
1.1;7.03;
0.484;3.93;Lower Centaurus Crux
0.043;19.73;Feigelson 1, Lower Centaurus Crux
-0.08;65.92;Lower Centaurus Crux
-0.046;40.88;Lower Centaurus Crux
1.055;26.32;
0.416;4.74;Lower Centaurus Crux
0.631;3.01;Lower Centaurus Crux
0.36;7.54;Coma
-0.128;2764.91;Lower Centaurus Crux
0.532;4.6;Lower Centaurus Crux
0.163;9.95;Lower Centaurus Crux
0.405;3.97;
0.123;29.77;Coma
0.117;12.5;Lower Centaurus Crux
0.624;1.33;Coma
0.252;9.89;Lower Centaurus Crux
0.426;4.52;Lower Centaurus Crux
1.277;0.12;Ursa Major
0.097;14;Lower Centaurus Crux
0.332;4.47;Lower Centaurus Crux
0.397;4.5;Coma
0.425;3.33;Lower Centaurus Crux
0.542;2.04;Lower Centaurus Crux
0.077;25.03;Ursa Major
0.408;4.78;Coma
0.365;5.81;Coma
0.458;5.67;Lower Centaurus Crux
0.237;15.1;Coma
0.523;2.1;Coma
0.513;2.52;Coma
0.18;19.01;Coma
0.177;22.45;Coma
0.576;2;Coma
0.183;19.34;Coma
0.56;1.65;Coma
0.387;4.66;Lower Centaurus Crux
0.286;8.02;Coma
0.586;1.51;Coma
0.463;3.41;Coma
0.47;2.86;Coma
0.49;2.17;Lower Centaurus Crux
0.515;95.08;Coma
0.551;1.83;Coma
0.448;3.39;Coma
0.146;9.19;Lower Centaurus Crux
0.244;15.8;Coma
0.414;3.44;Lower Centaurus Crux
0.082;60.93;Coma
0.276;20.17;Coma
-0.001;19.04;Lower Centaurus Crux
0.32;4.68;Lower Centaurus Crux
0.534;4.58;Coma
0.449;3.5;Coma
1.097;15.63;
0.277;76.01;Coma
-0.141;483.06;Lower Centaurus Crux
-0.243;30302.96;Lower Centaurus Crux
0.088;75.54;Coma
0.18;14.42;Coma
-0.192;1513.93;Lower Centaurus Crux
0.022;34.31;Lower Centaurus Crux
-0.073;158.25;Lower Centaurus Crux
0.215;17.57;Coma
0.729;2.25;Lower Centaurus Crux
0.518;2.94;Lower Centaurus Crux
0.056;48.74;Coma
0.477;2.87;Coma
0.504;5.38;Lower Centaurus Crux
0.941;0.42;Ursa Major
0.35;7.15;Coma
0.63;1.01;Coma
-0.024;47.16;Lower Centaurus Crux
0.101;16.55;Lower Centaurus Crux
0.114;23.06;Coma
0.57;2.08;Coma
0.95;0.33;Ursa Major
0.15;16.87;Lower Centaurus Crux
0.377;6.27;Lower Centaurus Crux
0.148;6.07;Lower Centaurus Crux
0.955;0.31;Ursa Major
0.345;5.08;Lower Centaurus Crux
-0.074;73.59;Lower Centaurus Crux
0.408;4.12;Lower Centaurus Crux
0.445;2.91;Lower Centaurus Crux
0.53;1.52;
0.229;5.92;
0.589;3.15;Coma
0.454;3.16;Lower Centaurus Crux
0.261;20.79;Lower Centaurus Crux
0.796;2.52;Lower Centaurus Crux
0.467;2.43;Ursa Major
0.502;2.72;Lower Centaurus Crux
-0.031;182.13;Lower Centaurus Crux
0.681;89.49;Coma
0.546;2.02;Coma
-0.022;136.57;Ursa Major
0.477;1.77;
-0.089;204.74;Lower Centaurus Crux
-0.153;464.98;Lower Centaurus Crux
0.383;5.32;Lower Centaurus Crux
-0.042;41.41;Lower Centaurus Crux
0.083;20.69;Lower Centaurus Crux
0.351;3.96;Lower Centaurus Crux
0.489;3.82;Lower Centaurus Crux
0.413;3.64;Lower Centaurus Crux
1;2.08;
0.451;4.2;Coma
0.368;5.75;Ursa Major
0.447;2.39;Lower Centaurus Crux
0.404;5.36;Lower Centaurus Crux
-0.148;405.52;Lower Centaurus Crux
0.405;12.46;Lower Centaurus Crux
0.54;3.14;Lower Centaurus Crux
0.445;3.38;Lower Centaurus Crux
0.623;1.08;Coma
0.436;4.26;Lower Centaurus Crux
-0.073;261.12;Lower Centaurus Crux
-0.011;56.65;Lower Centaurus Crux
0.603;1.13;Ursa Major
0.456;5.53;Lower Centaurus Crux
-0.018;30.93;Lower Centaurus Crux
-0.006;31.08;Lower Centaurus Crux
0.398;5.12;Lower Centaurus Crux
0.264;5.25;Lower Centaurus Crux
-0.125;187.86;Lower Centaurus Crux
0.227;15.47;Lower Centaurus Crux
-0.141;399.15;Lower Centaurus Crux
1.262;0.13;Ursa Major
0.057;65.67;Ursa Major
0.064;21.67;Lower Centaurus Crux
0.093;12.85;Lower Centaurus Crux
0.09;37.58;Coma
0.169;13.29;Ursa Major
0.557;1.74;Coma
0.08;26.59;Lower Centaurus Crux
0.498;6.19;Lower Centaurus Crux
0.006;20.03;Lower Centaurus Crux
0.068;25.02;Lower Centaurus Crux
0.191;11.45;Lower Centaurus Crux, Upper Centaurus Lupus
-0.11;110;Lower Centaurus Crux, Upper Centaurus Lupus
0.52;0.95;
0.101;12.99;Lower Centaurus Crux
-0.003;19.56;Lower Centaurus Crux
0.053;30.72;Lower Centaurus Crux, Upper Centaurus Lupus
0.18;12.59;Lower Centaurus Crux, Upper Centaurus Lupus
-0.106;60.04;Lower Centaurus Crux, Upper Centaurus Lupus
0.401;3.04;Lower Centaurus Crux
0.116;25.11;Lower Centaurus Crux
0.474;8.9;Lower Centaurus Crux
0.52;3.71;Lower Centaurus Crux
0.377;4.3;Lower Centaurus Crux, Upper Centaurus Lupus
0.592;2.25;Lower Centaurus Crux
0.427;3.8;Lower Centaurus Crux, Upper Centaurus Lupus
-0.208;1883.53;Lower Centaurus Crux
0.724;1.63;Lower Centaurus Crux
0.489;5.22;Lower Centaurus Crux, Upper Centaurus Lupus
-0.231;45273.9;Lower Centaurus Crux
0.125;9.32;Lower Centaurus Crux, Upper Centaurus Lupus
0.411;5.28;Upper Centaurus Lupus
-0.185;1064.11;Upper Centaurus Lupus
0.233;19.64;Lower Centaurus Crux
0.807;0.78;Upper Centaurus Lupus
0.26;7.37;Upper Centaurus Lupus
-0.157;2432.97;Lower Centaurus Crux
0.205;8.65;Upper Centaurus Lupus
-0.157;637.01;Upper Centaurus Lupus
0.256;12.15;Beta Pictoris
0.129;22.33;Upper Centaurus Lupus
0.062;27.76;Upper Centaurus Lupus
0.192;8.58;Upper Centaurus Lupus
-0.026;25.76;Upper Centaurus Lupus
-0.113;105.46;Upper Centaurus Lupus
0.511;3.09;Upper Centaurus Lupus
0.469;2.54;Upper Centaurus Lupus
0.079;18.25;Upper Centaurus Lupus
-0.062;51.2;Upper Centaurus Lupus
-0.155;916.24;Upper Centaurus Lupus
0.122;8.52;Upper Centaurus Lupus
-0.15;243.8;Upper Centaurus Lupus
0.437;5.3;Upper Centaurus Lupus
0.446;6.04;Upper Centaurus Lupus
-0.017;34.3;Upper Centaurus Lupus
0.817;0.85;Beta Pictoris
0.413;3.56;Beta Pictoris
0.478;3.27;Upper Centaurus Lupus
0.462;2.61;Upper Scorpius
-0.014;125.17;Upper Scorpius
0.739;2.63;Upper Scorpius
0.396;7.96;Upper Scorpius
0.315;9.37;Beta Pictoris
0.383;4.5;Upper Scorpius
0.474;4.32;Upper Centaurus Lupus
-0.011;26.28;Upper Scorpius
0.14;11.84;Upper Centaurus Lupus
0.663;3.01;Upper Scorpius
0.574;2.53;Upper Scorpius
0.222;6.28;Upper Centaurus Lupus
-0.146;356.99;Upper Centaurus Lupus
0.122;11.4;Upper Scorpius
0.084;14.04;Upper Scorpius
0.173;13.39;Upper Scorpius
0.397;9;Upper Scorpius
0.205;11.88;Upper Scorpius
0.189;13.12;Upper Scorpius
0.654;4.58;Upper Scorpius
0.392;5.55;Upper Scorpius
0.501;3.31;Upper Scorpius
0.19;34.35;Upper Centaurus Lupus
0.249;10.3;Upper Scorpius
0.241;10.89;Upper Scorpius
0.227;9.13;Upper Scorpius
0.463;4.21;Upper Scorpius
0.337;7.84;Upper Scorpius
0.489;3.4;Upper Scorpius
0.292;8.14;Upper Scorpius
0.456;3.76;Upper Scorpius
0.755;3.55;Upper Scorpius
0.309;7.82;Upper Scorpius
-0.016;25.88;Upper Scorpius
0.135;13.96;Upper Scorpius
0.492;3.12;Upper Scorpius
0.357;4.2;Upper Scorpius
0.271;13.32;Upper Scorpius
0.309;3.69;Upper Scorpius
0.648;3.22;Upper Scorpius
0.545;7.92;Upper Scorpius
0.246;8.35;Upper Scorpius
0.564;4.78;Upper Scorpius
-0.206;5428.39;Upper Scorpius
0.465;2.52;Upper Scorpius
0.108;11.76;Upper Scorpius
0.386;6.68;Upper Scorpius
0.798;1.8;Beta Pictoris
0.233;19.89;Collinder 350
0.009;144.14;NGC 6405
0.299;33.1;Collinder 350
-0.009;208.02;NGC 6405
-0.015;133.15;NGC 6405
1.571;708.19;NGC 6405
0.048;73.18;IC 4665
0.303;49.34;Collinder 350
-0.005;152.93;IC 4665
-0.008;304.44;IC 4665
-0.002;193.09;IC 4665
-0.026;139.72;IC 4665
-0.019;238.89;IC 4665
0.159;40.7;NGC 6405
0.096;40.56;IC 4665
0.002;118.31;Ptolemy
0.354;38.86;Collinder 350
0.127;26.96;IC 4665
-0.012;173.44;IC 4665
0.022;76.66;Ptolemy
0.828;60.17;Collinder 350
0.007;66.76;Ptolemy
-0.111;539.03;Ptolemy
1.129;443.97;Ptolemy
1.241;409.03;Ptolemy
0;165.15;Ptolemy
-0.026;125.63;Ptolemy
-0.041;288.45;Ptolemy
1.098;548.47;Ptolemy
0;189.82;Ptolemy
0.036;118.36;Ptolemy
0.055;224.47;Ptolemy
0.078;45.03;Ptolemy
0.019;113.2;Ptolemy
0.074;238.9;Ptolemy
0.101;39.09;Ptolemy
0.035;137.77;Ptolemy
0.058;620.33;Collinder 350
-0.024;65.1;Ptolemy
0.011;20.92;Collinder 359
-0.1;1524.63;Collinder 359
0.029;2364.17;Collinder 359
0.03;35.57;Collinder 359
-0.04;65.06;Collinder 359
0.458;3.25;Beta Pictoris
0.079;31.18;Collinder 359
1.568;65.45;Collinder 359
0.255;15.57;Beta Pictoris
0.888;27.76;Collinder 359
1.545;656.02;Collinder 359
-0.08;236.83;Alessi 19
0.138;23.63;Collinder 359
-0.07;371.74;Alessi 19
-0.083;417.24;Alessi 19
-0.097;289.41;Alessi 19
0.57;200.64;NGC 6639
0.25;126.44;NGC 6639
0.951;62.63;NGC 6639
0.398;64.25;NGC 6639
0.277;2126.49;IC 4725
1.07;11507.88;IC 4725
1.499;10337.1;IC 4725
1.333;11084.25;IC 4725
0.19;129.2;IC 4756
0.29;61.54;NGC 6639
0.86;63.1;IC 4756
0.35;119.21;IC 4756
0.503;25.02;IC 4756
0.816;39.74;IC 4756
1.128;65.99;IC 4756
0.394;23.02;IC 4756
-0.063;94.81;Stephenson 1
0.556;3.02;Tucana / Horologium
-0.021;112.86;Stephenson 1
0.199;8.29;Beta Pictoris
0.098;28.95;Stephenson 1
0.271;18.67;Stephenson 1
-0.102;143.26;Stephenson 1
-0.062;85.8;Stephenson 1
-0.1;391.94;Stephenson 1
-0.078;114.43;Stephenson 1
0.784;1.13;Beta Pictoris
-0.138;837.66;Stephenson 1
0.489;11.11;Stephenson 1
0.088;21.09;Stephenson 1
-0.109;102.43;Stephenson 1
1.575;4335.24;Stephenson 1
0.026;44.19;Stephenson 1
-0.134;1475.32;Beta Pictoris
1.363;268.19;Stephenson 1
0.32;189.48;ASCC 100
-0.07;163.02;ASCC 100
-0.117;1100.88;ASCC 100
0.098;53.81;ASCC 100
-0.101;454.32;ASCC 100
0.238;114.06;ASCC 100
0.007;42.2;ASCC 100
0.465;92.45;ASCC 100
0.353;264.02;ASCC 100
0.061;80.08;ASCC 100
-0.127;655.62;ASCC 100
-0.033;51.19;ASCC 100
1.133;329.64;ASCC 100
0.011;89.2;ASCC 100
0.026;8.03;ASCC 100
-0.07;257.27;ASCC 100
0.48;3.61;Beta Pictoris
0.158;99.37;Stock 1
0.13;76.08;Stock 1
1.049;129.38;Stock 1
0.13;128.48;Stock 1
0.246;114.12;Stock 1
-0.03;172.69;NGC 6882
-0.041;192.11;NGC 6882
1.132;680.1;NGC 6882
-0.061;127.98;Roslund 5
0.138;397.33;Kronberger 28
0.204;623.82;Kronberger 28
0.189;583.41;Kronberger 28
0.324;276.36;Kronberger 28
-0.028;122.09;Roslund 5
0.095;656.44;Kronberger 28
-0.066;187.52;Roslund 5
0.03;160.17;Roslund 5
0.48;3.29;Beta Pictoris
